Gender,Sexual orientation,Response,Tag,N,left_wing_tolerance,right_wing_tolerance
Women,Straight (Heterosexual),Hindu and catholic,Short explanation,1,44.4,11.1
Women,Queer/Questioning/Other,Hindu/buddhist,Short explanation,1,66.7,33.3
Women,Straight (Heterosexual),Hold anishinaabe beliefs,Unusual,1,55.6,0.0
Women,Straight (Heterosexual),Hoodoo,Unusual,1,77.8,22.2
Women,Queer/Questioning/Other,I believe in a God but don’t associate with a particular religion,Long explanation,1,77.8,11.1
Women,Missing,"I believe there is divine intervention, but not people’s version of God, which is all powerful, all knowing, and all loving.",Long explanation,1,66.7,66.7
Women,Straight (Heterosexual),I do also follow pagan/wiccan beliefs,Short explanation,1,44.4,77.8
Women,Straight (Heterosexual),I don’t know,Other,1,11.1,0.0
Women,Straight (Heterosexual),I forget,Joke,1,44.4,44.4
Women,Straight (Heterosexual),"I grew up attending a Lutheran Christian church, but I'm open to learning about other religions",Long explanation,1,77.8,33.3
Women,Missing,Independent,Other,1,33.3,44.4
