ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
120,Pepperdine University,Pepperdine University,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Pepperdine University,"2021, 2022, 2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
121,Pitzer College,Pitzer College,Yes,,4/26/2024,https://claremont-courier.com/schools/demonstrations-halt-claremont-colleges-alumni-festivities-77608/,,,,arrests two weeks ago,No,,,,,No,108,Yellow,matched_to_cfsr2025,0,,,,
122,Pomona College,Pomona College,Yes,,4/26/2024,https://claremont-courier.com/schools/demonstrations-halt-claremont-colleges-alumni-festivities-77608/,https://www.dailybulletin.com/2024/05/06/pomona-college-students-build-new-encampment-one-month-after-protest-led-to-arrests/,,,,No,,,,,No,177,Yellow,matched_to_cfsr2025,0,,,,
123,Portland State University,Portland State University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.koin.com/news/oregon/gaza-protests-portland-state-university-04292024/,https://twitter.com/TheRealCoryElia/status/1783705263809458634,,,Yes,31.0,https://www.koin.com/news/protests/about-20-of-arrested-psu-protesters-were-students/,Yes,5/2/24,Yes,232,Red,matched_to_cfsr2025,0,,,,
124,Princeton University,Princeton University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.dailyprincetonian.com/article/2024/04/princeton-news-adpol-gaza-solidarity-encampment-launches-mccosh-courtyard,,,,Yes,15.0,https://paw.princeton.edu/article/21-days-protest-pro-palestinian-encampment-occupation-and-arrests,,various,Yes,187,Red,matched_to_cfsr2025,0,,,,
125,Purdue University-Main Campus,Purdue University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.aol.com/news/pro-palestinian-protesters-rally-purdue-162334214.html,https://www.instagram.com/p/C6MmLhLpH9z/?igsh=MTRlYXZuemh2ZmJmOA==,,,No,,,,,No,30,Green,matched_to_cfsr2025,1,,,,reviewed_ok
126,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,No,,,,,,,,No,,,,,Not Applicable,223,Red,matched_to_cfsr2025,0,,,,
127,Rice University,Rice University,Yes,,4/23/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/p/C6FRFu6pxtB/?img_index=1,,,No,,,,,No,158,Red,matched_to_cfsr2025,0,,,,
128,Rowan University,Rowan University,No,,,,,,,,No,,,,,Not Applicable,50,Yellow,matched_to_cfsr2025,0,,,,
129,Rutgers University-New Brunswick,Rutgers University,Yes,,4/29/2024,https://www.northjersey.com/story/news/education/2024/04/29/rutgers-students-encampment-protest-israel-campaign-gaza/73504283007/,https://www.cbsnews.com/newyork/video/pro-palestinian-encampment-set-up-at-rutgers-university/,https://twitter.com/sfmcguire79/status/1781386850034155839,,,No,,,,,No,120,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
130,Saint Louis University,Saint Louis University,No,,,,,,,protest,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Saint Louis University,"2021, 2022, 2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
131,San Diego State University,San Diego State University,No,,,,,,,,No,,,,,Not Applicable,206,Yellow,matched_to_cfsr2025,0,,,,
132,San Jose State University,San Jose State University,Yes,Yes,5/13/2024,https://sanjosespotlight.com/san-jose-state-university-sjsu-students-stage-protest-and-call-for-divestment-israel-hamas-war/,,,,,No,,,,,No,186,Yellow,matched_to_cfsr2025,0,,,,
133,Santa Clara University,Santa Clara University,No,,,,,,,,No,,,,,Not Applicable,192,Red,matched_to_cfsr2025,0,,,,
134,Scripps College,Scripps College,Yes,,4/26/2024,https://claremont-courier.com/schools/demonstrations-halt-claremont-colleges-alumni-festivities-77608/,,,,,No,,,,,No,127,Yellow,matched_to_cfsr2025,0,,,,
135,Skidmore College,Skidmore College,No,,,,,,,,No,,,,,Not Applicable,243,Red,matched_to_cfsr2025,0,,,,
136,Smith College,Smith College,No,,,,,,,,No,,,,,Not Applicable,168,Yellow,matched_to_cfsr2025,0,,,,
137,Southern Illinois University-Carbondale,"Southern Illinois University, Carbondale",No,,,,,,,,No,,,,,Not Applicable,81,Red,matched_to_cfsr2025,1,,,,reviewed_ok
138,Southern Illinois University-Edwardsville,"Southern Illinois University, Edwardsville",No,,,,,,,,No,,,,,Not Applicable,162,Red,matched_to_cfsr2025,1,,,,reviewed_ok
139,Southern Methodist University,Southern Methodist University,No,,,,,,,,No,,,,,Not Applicable,98,Yellow,matched_to_cfsr2025,0,,,,
140,Stanford University,Stanford University,Yes,,4/22/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/p/C5_8Emhy62N/?igsh=aW1mcTVhb2s0czgx,,,Yes,13.0,https://apnews.com/article/campus-protests-stanford-israel-gaza-f1ec47dcac1b55839e96b5442ebcf00d,Yes,6/5/24,Yes,207,Yellow,matched_to_cfsr2025,0,,,,
141,Stevens Institute of Technology,Stevens Institute of Technology,No,,,,,,,,No,,,,,Not Applicable,116,Red,matched_to_cfsr2025,0,,,,
142,Stony Brook University,Stony Brook University,Yes,,4/30/2024,https://longisland.news12.com/sbu-officials-29-people-arrested-on-campus-as-students-hold-pro-palestinian-protest,,https://twitter.com/zubkbr/status/1785280462425874582,,,Yes,29.0,https://longisland.news12.com/students-at-stony-brook-university-take-part-in-pro-palestinian-protest,Yes,5/1/24,Yes,67,Yellow,matched_to_cfsr2025,0,,,,
143,SUNY at Albany,SUNY at Albany,No,,,https://twitter.com/BTnewsroom/status/1785051159767433436,,,,protest,No,,,,,No,190,Yellow,matched_to_cfsr2025,0,,,,
144,SUNY College at Geneseo,SUNY College at Geneseo,No,,,,,,,,No,,,,,Not Applicable,194,Yellow,matched_to_cfsr2025,0,,,,
145,Swarthmore College,Swarthmore College,Yes,,4/23/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/p/C6FtB86OWY9/?img_index=3,,,No,,,,,No,118,Yellow,matched_to_cfsr2025,0,,,,
146,Syracuse University,Syracuse University,Yes,,4/29/2024,https://dailyorange.com/2024/04/live-student-encampment-syracuse-quad-demanding-gaza-ceasefire/,,https://twitter.com/bombilfry_/status/1784968782705807408,,"two extraneous arrests ... convicted killer hiding in encampment, and parent in verbal altercation with students in encampment",No,,,,,No,107,Yellow,matched_to_cfsr2025,0,,,,
147,Temple University,Temple University,No,,,https://www.fox29.com/news/temple-penn-princeton-join-growing-list-of-pro-palestinian-protests,4/25/2024,,,protest,No,,,,,No,96,Yellow,matched_to_cfsr2025,0,,,,
148,Texas A & M University-College Station,Texas A&M University,No,,,,,,,,No,,,,,Not Applicable,7,Green,matched_to_cfsr2025,1,,,,reviewed_ok
149,Texas State University,Texas State University,No,,,,,,,,No,,,,,Not Applicable,100,Yellow,matched_to_cfsr2025,0,,,,
150,Texas Tech University,Texas Tech University,No,,,,,,,,No,,,,,Not Applicable,40,Yellow,matched_to_cfsr2025,0,,,,
151,College of William and Mary,The College of William and Mary,No,,,,,,,,No,,,,,Not Applicable,59,Green,matched_to_cfsr2025,1,,,,reviewed_ok
152,Towson University,Towson University,No,,,https://thetowerlight.com/students-rally-for-tu-divestment-from-israel-as-sga-considers-resolution/,4/25/2024,,,protest,No,,,,,No,80,Yellow,matched_to_cfsr2025,0,,,,
153,Trinity College,Trinity College,Yes,Yes,5/1/2024,https://trinitytripod.com/news/live-updates-trinity-students-begin-encampment-demand-divestment-on-main-quad/,,,,,No,,,,,No,166,Yellow,matched_to_cfsr2025,0,,,,
154,Tufts University,Tufts University,Yes,,4/22/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/DSAWorkingMass/status/1782584292889034913,,,No,,,,,No,183,Red,matched_to_cfsr2025,0,,,,
155,Tulane University of Louisiana,Tulane University,Yes,,4/29/2024,https://tulanehullabaloo.com/66086/news/police-evacuate-buildings-make-arrests-as-palestine-encampment-starts-at-tulane/,,,,,Yes,26.0,https://www.nytimes.com/interactive/2024/us/pro-palestinian-college-protests-encampments.html,,various,Yes,238,Red,matched_to_cfsr2025,1,,,,reviewed_ok
156,University at Buffalo,University at Buffalo,Yes,,5/1/2024,https://www.ubspectrum.com/article/2024/05/a-timeline-of-the-attempted-pro-palestine-encampment-outside-hochstetter-hall,https://www.wivb.com/news/ub-students-react-to-tensions-on-campus-amid-israel-hamas-war/,,,,Yes,15.0,https://www.wgrz.com/article/news/crime/arrests-protests-university-buffalo-north-campus/71-43ca25d3-2fa7-4803-abac-8d56ba560ebb,Yes,5/1/24,Yes,22,Yellow,matched_to_cfsr2025,0,,,,
157,University of Alabama at Birmingham,"University of Alabama, Birmingham",No,,,,,,,,No,,,,,Not Applicable,43,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
158,University of Alabama in Huntsville,"University of Alabama, Huntsville",No,,,,,,,,No,,,,,Not Applicable,72,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
159,The University of Alabama,"University of Alabama, Tuscaloosa",No,,,,,,,,No,,,,,Not Applicable,154,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
160,University of Alaska Anchorage,University of Alaska,No,,,,,,,,No,,,,,Not Applicable,210,Red,matched_to_cfsr2025,1,,,,reviewed_ok
161,University of Arizona,University of Arizona,Yes,,4/25/2024,https://fronterasdesk.org/content/1878518/university-arizona-encampment-calls-gaza-ceasefire-divestment-companies-tied-israel,https://www.azpm.org/p/headlines/2024/4/30/220085-ua-liberation-zone-encampment-disbands-after-two-police-warnings/,https://www.azpm.org/p/headlines/2024/5/1/220108-law-enforcement-storms-encampment-on-university-of-arizona-campus/,https://twitter.com/elliew0lfe/status/1783566624706183497,2 additional arrests 5/9/24 (total now 6) https://www.kold.com/2024/05/10/palestinian-supporters-again-protest-university-arizona-campus/,Yes,6.0,https://www.kgun9.com/news/local-news/ua-president-robbins-4-arrested-two-students-and-two-non-students-at-protest,,5/1/24,Yes,84,Green,matched_to_cfsr2025,0,,,,
162,University of Arkansas,University of Arkansas,No,,,,,,,,No,,,,,Not Applicable,101,Yellow,matched_to_cfsr2025,0,,,,
163,University of California-Berkeley,"University of California, Berkeley",Yes,,4/22/2022,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://abc7news.com/uc-berkeley-students-set-up-free-palestine-encampment-on-campus/14719976/,https://twitter.com/NationalSJP/status/1782510646547849511,,,Yes,12.0,https://www.nytimes.com/live/2024/05/16/us/college-campus-protests#berkeley-arrests,Yes,5/16/24,Yes,147,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
164,University of California-Davis,"University of California, Davis",Yes,Yes,5/6/2024,https://www.abc10.com/article/news/local/protests/pro-palestinian-encampment-established-uc-davis-campus/103-c755e7b8-3888-4a7a-9885-6556924eedf1,https://www.capradio.org/articles/2024/05/10/uc-davis-pro-palestinian-encampment-continues-demonstrators-call-for-specific-changes-from-chancellor/,,,,No,,,,,No,237,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
165,University of California-Irvine,"University of California, Irvine",Yes,,4/29/2024,https://ktla.com/news/california/pro-palestinian-protest-encampment-grows-at-uc-irvine/,https://twitter.com/RankandFileUCI/status/1784951939551391950,https://twitter.com/teeheetummytums/status/1783570966796464200,,,Yes,47.0,https://www.latimes.com/california/story/2024-05-15/police-converge-on-pro-palestinian-protest-at-uc-irvine-students-are-told-to-shelter-in-place,Yes,5/16/24,Yes,150,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
166,University of California-Los Angeles,"University of California, Los Angeles",Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.cnn.com/2024/06/11/us/ucla-campus-palestine-protests-arrests/index.html,https://twitter.com/TeresaWatanabe/status/1783523279707550150,,arrests made at two different times. Count is total,Yes,271.0,https://www.latimes.com/california/story/2024-05-01/la-me-ucla-camp-police,Yes,5/1/24,Yes,169,Green,matched_to_cfsr2025,1,,,,reviewed_ok
167,University of California-Merced,"University of California, Merced",Yes,Yes,5/12/2024,https://sjvsun.com/news/merced/pro-palestine-protesters-crash-uc-merced-after-commencement-ceremony/,,,,,No,,,,,No,61,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
168,University of California-Riverside,"University of California, Riverside",Yes,,4/29/2024,https://www.sbsun.com/2024/04/29/gaza-solidarity-encampment-opens-at-uc-riverside/,,https://www.instagram.com/p/C6WJiWURL8l/?img_index=1,,,No,,,,,No,126,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
169,University of California-San Diego,"University of California, San Diego",Yes,,5/1/2024,https://www.kpbs.org/news/education/2024/05/01/ucsd-students-establish-pro-palestine-encampment-on-campus,,,,,Yes,64.0,https://www.kpbs.org/news/education/2024/05/06/chp-raids-ucsd-gaza-solidarity-encampment,Yes,5/6/24,Yes,125,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
170,University of California-Santa Barbara,"University of California, Santa Barbara",Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.latimes.com/california/story/2024-04-25/pro-palestinian-protests-grow-at-ucla-uc-santa-barbara#:~:text=At%20UC%20Santa%20Barbara%2C%20hundreds%20occupied%20the%20student%20resources%20building%20Thursday%20for%20a%20daylong%20series%20of%20workshops%2C%20art%20projects%20and%20other%20actions%20to%20express%20solidarity%20with%20Palestinians%2C%20call%20for%20a%20cease%2Dfire%20and%20demand%20an%20end%20to%20Israel%2Drelated%20investments.,,,,Yes,5.0,"https://www.independent.com/2024/06/24/five-arrested-as-uc-santa-barbaras-liberated-zone-is-cleared-overnight/#:~:text=The%20Sheriff's%20Office%20confirmed%20that,with%20a%20bail%20of%20%242%2C500.",Yes,6/22/24,Yes,173,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
171,University of California-Santa Cruz,"University of California, Santa Cruz",Yes,Yes,5/2/2024,https://www.ksbw.com/article/santa-cruz-gaza-palestine-camp-antisemitic-signs/60721033,,,,NY times says 124,Yes,124.0,"https://lookout.co/facing-backlash-ucsc-chancellor-defends-police-raid-on-protesters-as-necessary-decision/#:~:text=The%20arrests%20included%20112%20UCSC,wrote%20in%20an%20email%20Tuesday.",Yes,5/30/24,Yes,133,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
172,University of Central Florida,University of Central Florida,Yes,Yes,5/6/2024,https://www.orlandoweekly.com/news/ucf-students-launch-protest-encampment-demanding-divestment-from-israel-36802308,https://www.tampabay.com/news/education/2024/04/26/florida-college-students-join-national-wave-pro-palestinian-rallies/,,,,No,,,,,Yes,235,Yellow,matched_to_cfsr2025,0,,,,
173,University of Chicago,University of Chicago,Yes,,4/29/2024,https://chicagomaroon.com/42194/news/breaking-pro-palestine-protestors-launch-encampment-on-quad/,https://thechicagothinker.com/breaking-at-uchicago-students-plan-to-emulate-columbia-protests/,https://twitter.com/halfmoonpoem/status/1784963837713584364,,occupation protest may be coming (5/1/24),No,,,,,No,13,Green,matched_to_cfsr2025,0,,,,
174,University of Cincinnati-Main Campus,University of Cincinnati,No,,,,,,,,No,,,,,Not Applicable,222,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
175,University of Colorado Boulder,"University of Colorado, Boulder",No,,,,,,,,No,,,,,Not Applicable,10,Green,matched_to_cfsr2025,1,,,,reviewed_ok
176,University of Colorado Denver/Anschutz Medical Campus,"University of Colorado, Denver",Yes,,4/25/2024,https://www.denverpost.com/2024/04/25/israel-gaza-palestine-protest-denver-auraria-campus/,https://www.cuindependent.com/2024/04/26/police-precense-at-pro-palestine-encampment-at-cu-denver-campus/,,,,Yes,44.0,https://kdvr.com/news/local/auraria-campus-gives-statement-after-44-arrested-at-pro-palestine-rally/,,4/27/24,Yes,51,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
177,University of Connecticut,University of Connecticut,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.kait8.com/video/2024/04/26/video-student-arrested-during-pro-palestine-protest-uconn/,https://www.instagram.com/reel/C6Mxkrpvu_f/?igsh=MW8wbWVwNDcxdGhoNA==,,https://www.ctpublic.org/news/2024-04-25/police-make-arrests-as-uconn-students-gather-for-pro-palestinian-protest,Yes,25.0,"https://www.nbcconnecticut.com/news/local/police-respond-to-pro-palestinian-protest-at-yale-university/3278589/#:~:text=Officials%20said%20a%20total%20of,329%20medal%20events.",,4/30/24,Yes,220,Yellow,matched_to_cfsr2025,0,,,,
178,University of Dayton,University of Dayton,No,,,,,,,,No,,,,,Not Applicable,216,Red,matched_to_cfsr2025,0,,,,
179,University of Delaware,University of Delaware,Yes,,4/24/2024,https://www.nbcphiladelphia.com/news/local/pro-palestinian-rally-walk-out-encampment-college-school/3841113/,,https://twitter.com/jaivirdi/status/1783495838158701020,,,No,,,,,No,153,Yellow,matched_to_cfsr2025,0,,,,
180,University of Denver,University of Denver,Yes,Yes,5/9/2024,https://kdvr.com/news/local/du-establishes-interim-protest-policy-after-pro-palestine-encampment-set-up/,,,,,No,,,,,No,82,Yellow,matched_to_cfsr2025,0,,,,
181,University of Florida,University of Florida,Yes,,4/24/2024,https://www.orlandoweekly.com/news/university-of-florida-threatens-student-protesters-with-suspension-banishment-from-campus-for-3-years-36727325,https://www.alligator.org/article/2024/04/police-arrest-9-pro-palestine-protestors-on-uf-campus,https://twitter.com/LauraLoomer/status/1783592110949560709,,,Yes,9.0,https://www.gainesville.com/story/news/local/2024/04/29/police-detain-at-least-five-protesters-at-university-of-florida/73507050007/,,4/29/24,Yes,231,Green,matched_to_cfsr2025,0,,,,
