ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
212,University of Notre Dame,University of Notre Dame,Yes,,4/25/2024,https://www.aol.com/notre-dame-students-form-pro-021527133.html,,,,,Yes,17.0,https://www.wsbt.com/news/local/campus-nationwide-spur-arrests-notre-dame-pro-pelestinian-anti-israel-war-middle-east-palestinian-students-south-bend-indiana,Yes,5/2/24,Yes,176,Red,matched_to_cfsr2025,0,,,,
213,University of Oklahoma-Norman Campus,University of Oklahoma,No,,,,,,,,No,,,,,Not Applicable,134,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
214,University of Oregon,University of Oregon,Yes,,4/29/2024,https://www.dailyemerald.com/news/uo-students-begin-pro-palestine-encampment-on-campus/article_cfc43702-063b-11ef-b8f6-4fb5d6bfc98a.html,,,,one student arrested for gluing posters to buildings. ,No,,,,,No,143,Yellow,matched_to_cfsr2025,0,,,,
215,University of Pennsylvania,University of Pennsylvania,Yes,,4/26/2024,https://www.cbsnews.com/philadelphia/news/palestine-protest-philadelphia-temple-university-penn/,,,,,Yes,33.0,https://www.axios.com/local/philadelphia/2024/05/10/upenn-encampment-arrests-police,Yes,5/10/24,Yes,247,Yellow,matched_to_cfsr2025,0,,,,
216,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh,Yes,,4/23/2024,https://www.wesa.fm/courts-justice/2024-04-29/pro-palestine-protesters-pittsburgh,https://triblive.com/news/education-classroom/pro-palestine-encampment-with-pitt-students-enters-2nd-day-in-oakland/,https://twitter.com/ThePittNews/status/1782783721340342517,https://www.wpxi.com/news/local/pitt-police-asking-public-be-aware-traffic-disruptions-amidst-demonstrations-oakland/CZA3SIYWPBHPLEZF7HRSQOVLYU/,"2 arrested, 3rd after review of video footage",Yes,3.0,https://www.post-gazette.com/news/crime-courts/2024/06/25/university-of-pittsburgh-protesters-israel-palestinian-florkewicz/stories/202406250058,,various,Yes,130,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
217,University of Rhode Island,University of Rhode Island,No,,,,,,,,No,,,,,Not Applicable,204,Yellow,matched_to_cfsr2025,0,,,,
218,University of Rochester,University of Rochester,Yes,,4/23/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/pslnational/status/1782800066064887817?s=46,,,No,,,,,No,121,Yellow,matched_to_cfsr2025,0,,,,
219,University of San Francisco,University of San Francisco,Yes,,4/29/2024,,,https://twitter.com/SamRMickey/status/1785450010475479358,,,No,,,,,No,171,Red,matched_to_cfsr2025,0,,,,
220,University of South Carolina-Columbia,University of South Carolina,Yes,,4/22/2024,https://www.abccolumbia.com/2024/04/22/usc-students-hold-gaza-solidarity-encampment-protest/,,,,,Yes,2.0,https://www.postandcourier.com/columbia/education/usc-protest-arrest-students-columbia-gaza-palestine/article_c6082b38-033e-11ef-aa62-676b517d9c6e.html,,4/23/24,Yes,246,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
221,University of South Florida-Main Campus,University of South Florida,Yes,,4/29/2024,https://www.usforacle.com/2024/04/29/several-protestors-at-usf-arrested-during-pro-palestine-encampment-protest/,,,,,Yes,13.0,"https://www.usforacle.com/2024/05/28/usf-encampment-protesters-call-for-charges-to-be-dropped/#:~:text=The%2013%20protesters%20were%20arrested,from%20companies%20that%20support%20Israel.&text=Among%20the%20group%20are%20five,to%20university%20spokesperson%20Althea%20Johnson.",,"4/29, 4/30/24",Yes,12,Green,matched_to_cfsr2025,1,,,,reviewed_ok
